0.5,食物很香,香氣撲鼻,很香,超香的,聞到就很開心,好香,烤雞香,香氣,巧克力香,飄香,好有味道,被香味吸引,很香很香很香超受不暸的,海鮮味十足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,其他正面情緒,我好興奮阿,滿意,封頂,優等,給分,正妹,帥哥,超開心,開心,不用擔心,又不會太嗆鼻,讓人不發胖,讓人不發胖,沒有限時間,正咩,天然食材,天然,健康,養生,不想離開,很棒,熱情,很喜歡,十足合搭,很不錯,有特色韻味,享受,姆哥,應有盡有,啾甘心,沒得挑剃,快樂似神仙,美好時光,口耳相傳,超級推薦,好特別的店,我要把他收藏起來,太有趣了,高級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,否其他正面情緒,特殊負評,後悔,不會再來,退步,唾棄,沒肉,動線安排的不是很恰當,有點障礙,很醜,不會去第二次,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,份量大,大碗,超大,有份量,量足夠,吃飽,吃很飽,飽足感很夠,太大了,量多,量很多,太多了,太大份,分量不小,大份,滿大份,俗擱,豐盛,給太大方,份量也都挺不賴,可無限續,份量很多,兩個人吃差不多,友善,飽足感,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,小份量,小份量,輕食,很精緻,可能不太夠,一個人吃剛剛好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2,重口味,太鹹,太辣,夠辣,嗆辣,太鹹,很甜,超鹹,超辣,非常夠味,很夠味,重鹹,很膩,味到非常重,刺激,味道很重,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,口味清淡,口味清淡,不會太鹹,不會太重,味淡,溫和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5,偏辣,太辣,夠辣,嗆,超辣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5,偏甜,太甜,很甜,甜死了,非常甜,甜度有點高,好甜,過甜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5,偏酸,好酸,超酸,酸死了,非常酸,蠻酸的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
